DBA_NAME,CLS,PBC,MAIL_ADDR_LINE1,CITY,STATE,MAIL_ZIP
CAFE MASON,8,3079,320 MASON ST,SAN FRANCISCO,CA,94102-1704
SUSHI BOOM,8,3079,1520 FILLMORE ST,SAN FRANCISCO,CA,94115
SAI JAI THAI,8,3079,771 OFARRELL ST,SAN FRANCISCO,CA,94109-7114
CLEMENT BBQ RESTAURANT,8,3079,621 CLEMENT ST,SAN FRANCISCO,CA,94118-2206
L'ARDOISE,8,3079,151 NOE ST,SAN FRANCISCO,CA,94114-1245
SF BAY AREA ROCK/ROLL HALL FME,8,3079,PO BOX 640611,SAN FRANCISCO,CA,94164-0611
BAY AREA ROCK/ROLL HALL OF FME,8,3079,PO BOX 640611,SAN FRANCISCO,CA,94164-0611
TAQUERIA MANA,8,3079,439 STOCKTON ST,SAN FRANCISCO,CA,94108-3608
PIER 39 ICE CREAM,8,3079,C/O 800 S BROADWAY,WALNUT CREEK,CA,94596-5218
DRIP COFFEE COMPANY,8,3079,3606 CASANOVA DR,SAN MATEO,CA,94403-2911
RELISH,8,3079,3631 23RD ST,SAN FRANCISCO,CA,94110-2920
PSYCHEDELIC SMOKE SHOP,8,3079,1072 MARKET ST #B,SAN FRANCISCO,CA,94102-3923
CITY KINETICS,8,3079,123 MISSION ST,SAN FRANCISCO,CA,94105-1551
LES CROISSANTS CAFE,8,3079,2 CALIFORNIA ST,SAN FRANCISCO,CA,94111-4803
LES CROISSANT,8,3079,2 CALIFORNIA ST,SAN FRANCISCO,CA,94111-4803
GOLDEN STAR RESTAURANT,8,3079,11 WALTER U LUM PL,SAN FRANCISCO,CA,94108-1801
TIN VIETNAMESE CUISINE,8,3079,937 HOWARD ST,SAN FRANCISCO,CA,94103-4108
PATS CAFE,8,3079,2330 TAYLOR ST,SAN FRANCISCO,CA,94133-1810
ALI BABAS CAVE CAFE & REST,8,3079,799 VALENCIA ST,SAN FRANCISCO,CA,94110
LALOLA,8,3079,16 DEHON ST,SAN FRANCISCO,CA,94114-1749
LOLA BAR,8,3079,16 DEHON ST,SAN FRANCISCO,CA,94114-1749
QUIZNOS SUB                      1,8,3079,493 SKYLINE DR,DALY CITY,CA,94015-4562
CYAN,8,3079,974 VALENCIA ST,SAN FRANCISCO,CA,94110-2322
CANDLESTICK COFFEE & ESPRESSO,8,3079,354 PENINSULA AVE,SAN FRANCISCO,CA,94134-2427
CAFE ROCCO,8,3079,1131 FOLSOM ST,SAN FRANCISCO,CA,94103-3931
BAHAY KUBO OF SAN FRANCISCO,8,3079,3545 20TH ST,SAN FRANCISCO,CA,94110-2420
DINKIN CATERING,8,3079,584 CASTRO ST #490,SAN FRANCISCO,CA,94114-2512
JAVA WASTED CAFE,8,3079,257 COUNTRY CLUB DRIVE,SAN FRANCISCO,CA,94132-1107
ABIGAIL CAFE                     2,8,3079,2120A GREENWICH ST,SAN FRANCISCO,CA,94123
CUCO'S RESTAURANT,8,3079,488 HAIGHT ST,SAN FRANCISCO,CA,94117-3506
DONAIROS PIZZA,8,3079,6905 GEARY BOULEVARD,SAN FRANCISCO,CA,94121-1620
BOBS DONUTS & PASTRIES,8,3079,1621 POLK ST,SAN FRANCISCO,CA,94109-3614
TAQUERIA ZORRO,8,3079,308 COLUMBUS AVE,SAN FRANCISCO,CA,94133-3908
TOMO CAFE,8,3079,101 GREENWOOD AVE,SAN FRANCISCO,CA,94112-1360
THANH THANH,8,3079,655 RAILROAD AVE,S SAN FRAN,CA,94080-3459
BILLS PLACE,8,3079,2315 CLEMENT ST,SAN FRANCISCO,CA,94121-1919
24TH STREET CAFE,8,3079,3853 24TH ST,SAN FRANCISCO,CA,94114-3840
TAQUERIA EL BUEN SABOR #2,8,3079,699 VALENCIA ST,SAN FRANCISCO,CA,94110-1150
TAQUERIA EL BUEN SABOR,8,3079,699 VALENCIA ST,SAN FRANCISCO,CA,94110-1150
RED CAFE,8,3079,2894 MISSION ST,SAN FRANCISCO,CA,94110-3908
SEOUL PATCH WORKS,8,3079,1538 20TH ST,SAN FRANCISCO,CA,94107
CLEMENT MINI MARKET,8,3079,2 CLEMENT ST,SAN FRANCISCO,CA,94118-2418
FOX LIQUORS & DELI,8,3079,570 LARKIN ST,SAN FRANCISCO,CA,94102-3326
HALL OF FLAME BURGERS,8,3079,210 LOYOLA DR,MILLBRAE,CA,94030-2930
LAYALY MEDITERRANEAN GRILL,8,3079,60 WEST PORTAL AVE,SAN FRANCISCO,CA,94127-1304
BURSA,8,3079,60 WEST PORTAL AVE,SAN FRANCISCO,CA,94127-1304
PALMYRA,8,3079,700 HAIGHT ST,SAN FRANCISCO,CA,94117
JACK'S CLUB,8,3079,2545 24TH ST,SAN FRANCISCO,CA,94110-3508
PUERTO VALLARTA,8,3079,2545 24TH ST,SAN FRANCISCO,CA,94110-3508
LATIN GRILL EXPRESS,8,3079,993 NORTH POINT ST,SAN FRANCISCO,CA,94109
UNCLE BOY'S,8,3079,3931 STEIN CT,S SAN FRAN,CA,94080-3948
LA QUINTA RESTAURANT,8,3079,2425 MISSION ST,SAN FRANCISCO,CA,94110
CAVALLI BOOKS AND CAFFE,8,3079,1441 STOCKTON ST,SAN FRANCISCO,CA,94133-3816
CAFE ELENA,8,3079,724 LARCHMONT DR,DALY CITY,CA,94015-3638
CAFE LA BOHEME,8,3079,3318 24TH ST,SAN FRANCISCO,CA,94110-3803
ALEGRIAS FOOD FROM SPAIN,8,3079,2018 LOMBARD ST,SAN FRANCISCO,CA,94123-2809
PITA'S CAFE,8,3079,1380 SUTTER ST,SAN FRANCISCO,CA,94109-5416
HAMBURGER HAVEN,8,3079,800 CLEMENT ST,SAN FRANCISCO,CA,94118-2219
HONG KONG RESTAURANT,8,3079,749A CLAY ST,SAN FRANCISCO,CA,94108-1859
L & M CAFE,8,3079,1081 MARKET ST,SAN FRANCISCO,CA,94103-1605
